price,neighbourhood_cleansed,room_type,property_type,accommodates,bedrooms,beds,minimum_nights,maximum_nights,availability_365,number_of_reviews,reviews_per_month,review_scores_rating,instant_bookable,host_is_superhost,host_identity_verified,bathrooms
125.0,East Boston,Entire home/apt,Entire rental unit,2,1.0,1.0,29,1125,326,26,0.21,4.96,0,1.0,0.0,1.0
129.0,Roxbury,Entire home/apt,Entire guest suite,2,1.0,1.0,3,90,67,138,0.69,4.82,0,1.0,1.0,1.0
168.0,Roxbury,Entire home/apt,Entire condo,4,0.0,2.0,3,730,56,141,0.72,4.81,0,1.0,1.0,1.0
140.0,Beacon Hill,Entire home/apt,Entire rental unit,2,1.0,2.0,91,365,277,29,0.21,4.69,0,1.0,1.0,1.0
166.0,Back Bay,Entire home/apt,Entire rental unit,3,0.0,1.0,91,1125,218,9,0.08,4.33,0,0.0,1.0,1.0
202.0,Back Bay,Entire home/apt,Entire rental unit,2,0.0,1.0,32,1125,117,6,0.08,5.0,0,0.0,1.0,1.0
202.0,North End,Entire home/apt,Entire condo,2,0.0,1.0,60,1125,330,2,0.1,4.5,0,0.0,1.0,1.0
162.0,Dorchester,Entire home/apt,Entire rental unit,6,3.0,3.0,30,360,286,51,0.27,4.3,0,0.0,1.0,1.0
323.0,Charlestown,Entire home/apt,Entire rental unit,2,1.0,1.0,2,28,173,103,0.55,4.97,0,0.0,1.0,1.0
91.0,Jamaica Plain,Private room,Private room in home,2,1.0,1.0,14,120,341,103,0.56,4.98,0,1.0,1.0,1.5
176.0,Charlestown,Entire home/apt,Entire rental unit,3,1.0,1.0,29,1125,44,143,0.78,4.67,0,1.0,1.0,1.0
59.0,Dorchester,Entire home/apt,Entire home,2,0.0,1.0,3,365,61,334,1.82,4.45,0,0.0,1.0,1.0
72.0,Roxbury,Private room,Private room in rental unit,1,1.0,1.0,29,31,233,145,0.81,4.73,0,1.0,1.0,1.0
106.0,Beacon Hill,Entire home/apt,Entire rental unit,2,1.0,1.0,32,365,114,19,0.13,4.84,0,1.0,1.0,1.0
140.0,Charlestown,Private room,Private room in rental unit,2,1.0,1.0,29,730,365,71,0.42,4.36,0,0.0,0.0,1.0
225.0,Roxbury,Entire home/apt,Entire condo,6,2.0,3.0,3,365,45,317,1.85,4.71,0,1.0,1.0,1.0
62.0,Jamaica Plain,Private room,Private room in condo,1,1.0,1.0,30,90,305,66,0.39,4.97,0,1.0,1.0,1.0
174.0,Jamaica Plain,Entire home/apt,Entire rental unit,2,1.0,1.0,3,150,107,570,3.36,4.89,0,1.0,1.0,1.0
133.0,Jamaica Plain,Entire home/apt,Entire home,2,0.0,1.0,3,60,218,330,1.93,4.9,0,1.0,1.0,1.0
279.0,North End,Private room,Private room in townhouse,3,1.0,1.0,3,1125,179,366,2.15,4.93,0,1.0,1.0,1.0
322.0,South Boston,Entire home/apt,Entire rental unit,4,2.0,2.0,2,365,314,536,3.34,4.85,0,1.0,1.0,1.0
270.0,South Boston,Entire home/apt,Entire home,4,2.0,2.0,1,150,239,71,0.43,4.59,0,1.0,1.0,1.0
245.0,Dorchester,Entire home/apt,Entire townhouse,4,2.0,3.0,1,365,329,121,0.73,4.36,0,0.0,1.0,2.0
50.0,Dorchester,Private room,Private room in home,1,1.0,1.0,1,365,304,118,0.74,4.66,1,0.0,1.0,0.5
76.0,Jamaica Plain,Private room,Private room in home,2,1.0,1.0,5,90,209,431,2.67,4.84,0,1.0,1.0,1.0
123.0,Dorchester,Entire home/apt,Entire rental unit,5,2.0,2.0,30,365,324,66,0.47,4.67,0,0.0,1.0,1.0
153.0,Dorchester,Entire home/apt,Entire rental unit,6,3.0,3.0,30,365,46,58,0.36,4.43,0,0.0,1.0,1.0
194.0,West Roxbury,Entire home/apt,Entire rental unit,3,2.0,1.0,30,180,363,0,,,0,0.0,1.0,1.0
150.0,West Roxbury,Entire home/apt,Entire rental unit,5,3.0,3.0,30,180,189,43,0.42,4.56,1,0.0,1.0,1.0
251.0,Charlestown,Entire home/apt,Houseboat,6,1.0,4.0,2,1125,319,142,1.29,4.8,1,0.0,0.0,1.0
175.0,Charlestown,Entire home/apt,Entire home,2,1.0,1.0,3,1125,2,199,1.24,4.8,0,1.0,1.0,1.0
208.0,Charlestown,Entire home/apt,Entire rental unit,4,1.0,2.0,2,60,177,521,3.31,4.91,0,1.0,1.0,1.0
621.0,Jamaica Plain,Entire home/apt,Entire home,10,4.0,4.0,3,30,284,93,0.61,4.86,0,1.0,1.0,2.5
116.0,Jamaica Plain,Private room,Private room in rental unit,1,1.0,1.0,2,31,227,317,2.12,4.89,0,1.0,1.0,1.0
55.0,Roslindale,Private room,Private room in condo,2,1.0,2.0,91,1125,365,141,1.15,4.82,0,0.0,0.0,1.0
141.0,Roxbury,Entire home/apt,Entire condo,4,0.0,1.0,3,90,49,74,0.47,4.85,0,1.0,1.0,1.0
449.0,Downtown,Entire home/apt,Entire loft,4,1.0,2.0,2,1125,319,240,1.58,4.97,1,1.0,1.0,2.0
420.0,Roslindale,Entire home/apt,Entire rental unit,8,3.0,4.0,5,730,73,114,0.8,4.88,0,1.0,1.0,2.0
82.0,Roslindale,Private room,Private room in bed and breakfast,2,1.0,1.0,29,1124,184,68,0.47,4.87,0,1.0,1.0,1.5
136.0,West Roxbury,Entire home/apt,Entire rental unit,2,1.0,2.0,4,729,53,113,0.76,4.91,0,1.0,1.0,1.0
182.0,Downtown,Private room,Private room in condo,4,1.0,2.0,91,1125,365,61,0.42,4.76,0,1.0,1.0,1.0
289.0,South End,Entire home/apt,Entire rental unit,2,0.0,1.0,2,365,197,93,0.63,4.86,0,1.0,1.0,1.0
158.0,Jamaica Plain,Entire home/apt,Entire rental unit,2,1.0,1.0,3,180,119,416,2.76,4.85,0,1.0,1.0,1.0
204.0,Back Bay,Private room,Private room in home,1,1.0,1.0,29,365,365,117,0.78,4.63,0,0.0,1.0,1.0
135.0,Mission Hill,Entire home/apt,Entire rental unit,2,1.0,1.0,91,260,262,31,0.21,4.68,0,1.0,1.0,2.0
442.0,Jamaica Plain,Entire home/apt,Entire condo,8,4.0,6.0,2,1125,268,97,0.66,4.74,1,0.0,1.0,2.0
505.0,North End,Entire home/apt,Entire rental unit,6,3.0,3.0,2,30,329,203,1.35,4.79,0,1.0,1.0,1.0
86.0,West Roxbury,Private room,Private room in home,3,1.0,2.0,2,30,354,209,1.39,4.57,0,0.0,1.0,1.0
358.0,South End,Entire home/apt,Entire rental unit,2,1.0,1.0,2,365,123,123,0.83,4.84,0,1.0,1.0,1.0
340.0,Beacon Hill,Entire home/apt,Entire rental unit,2,1.0,2.0,91,180,359,23,0.16,4.45,0,0.0,1.0,1.0
65.0,Charlestown,Private room,Private room in rental unit,1,1.0,1.0,29,62,298,122,0.83,4.7,0,1.0,1.0,1.0
128.0,Brighton,Entire home/apt,Entire guest suite,2,1.0,1.0,2,90,9,303,2.08,4.82,0,1.0,1.0,1.0
56.0,Roxbury,Private room,Private room in townhouse,1,1.0,1.0,30,65,242,27,0.3,4.85,0,1.0,1.0,2.0
124.0,South Boston,Private room,Private room in townhouse,2,1.0,1.0,1,365,45,628,5.39,4.86,0,0.0,1.0,1.0
214.0,Jamaica Plain,Entire home/apt,Entire home,4,2.0,3.0,2,1125,295,326,2.25,4.91,0,1.0,1.0,1.0
112.0,Roslindale,Entire home/apt,Entire loft,2,1.0,1.0,29,365,353,13,0.11,4.92,0,0.0,1.0,1.5
167.0,Roslindale,Entire home/apt,Entire home,4,2.0,2.0,29,365,358,44,0.3,4.61,0,0.0,1.0,1.0
63.0,Dorchester,Private room,Private room in rental unit,2,1.0,1.0,1,28,320,199,1.37,4.89,0,1.0,1.0,1.0
63.0,Roslindale,Private room,Private room in home,2,1.0,1.0,29,1125,265,47,0.32,4.81,0,0.0,1.0,1.0
118.0,Brighton,Private room,Private room in townhouse,2,1.0,1.0,29,1125,363,303,2.21,4.76,1,0.0,1.0,1.5
258.0,Fenway,Entire home/apt,Entire condo,1,2.0,1.0,91,365,363,2,0.02,4.0,0,0.0,1.0,1.0
120.0,Jamaica Plain,Private room,Private room in rental unit,2,1.0,1.0,91,1125,365,38,0.27,4.62,0,0.0,1.0,1.0
598.0,South Boston,Entire home/apt,Entire condo,6,2.0,4.0,29,1125,148,22,0.2,4.86,0,1.0,1.0,2.0
187.0,South Boston,Private room,Private room in condo,3,1.0,1.0,29,1125,365,85,0.74,4.73,0,1.0,1.0,1.0
181.0,Allston,Entire home/apt,Entire rental unit,2,1.0,1.0,30,90,74,55,0.42,4.84,0,0.0,0.0,1.0
303.0,South End,Entire home/apt,Entire rental unit,2,1.0,1.0,3,365,183,97,0.7,4.82,0,1.0,1.0,1.0
180.0,Jamaica Plain,Entire home/apt,Entire guest suite,2,1.0,2.0,2,14,90,208,1.49,4.96,0,1.0,0.0,1.0
75.0,Brighton,Entire home/apt,Entire rental unit,2,1.0,1.0,91,1125,146,12,0.09,4.92,0,1.0,1.0,1.0
175.0,Downtown,Entire home/apt,Entire rental unit,2,1.0,1.0,91,1124,171,37,0.27,4.68,0,1.0,1.0,1.0
269.0,South End,Entire home/apt,Entire rental unit,2,0.0,0.0,2,365,157,98,0.73,4.84,1,1.0,1.0,1.0
77.0,Brighton,Entire home/apt,Entire rental unit,2,1.0,1.0,91,1125,131,19,0.14,4.84,0,1.0,1.0,1.0
280.0,Back Bay,Entire home/apt,Entire rental unit,4,1.0,2.0,29,1125,365,74,0.55,4.61,1,0.0,1.0,1.0
150.0,Beacon Hill,Entire home/apt,Entire rental unit,4,1.0,2.0,365,1125,360,99,0.72,4.87,0,0.0,1.0,1.0
237.0,Charlestown,Entire home/apt,Entire condo,5,3.0,4.0,91,352,365,0,,,0,0.0,1.0,2.0
125.0,Hyde Park,Entire home/apt,Entire guest suite,4,2.0,2.0,29,1125,305,38,0.28,4.5,0,0.0,1.0,1.0
51.0,Dorchester,Private room,Private room in rental unit,1,1.0,1.0,30,365,365,15,0.12,4.87,0,0.0,1.0,1.0
153.0,Roslindale,Entire home/apt,Entire rental unit,3,1.0,2.0,2,1125,335,208,1.53,4.85,0,1.0,1.0,1.0
132.0,Dorchester,Entire home/apt,Entire guest suite,4,1.0,1.0,2,40,256,269,1.97,4.53,0,1.0,1.0,1.0
124.0,Roxbury,Private room,Private room in townhouse,2,1.0,2.0,2,110,40,512,4.32,4.94,0,1.0,1.0,1.0
118.0,Roxbury,Entire home/apt,Entire guest suite,3,0.0,2.0,28,730,136,148,1.74,4.93,0,1.0,1.0,1.0
188.0,Beacon Hill,Entire home/apt,Entire rental unit,2,1.0,1.0,91,365,283,254,1.87,4.8,0,1.0,1.0,1.0
159.0,Dorchester,Entire home/apt,Entire rental unit,6,3.0,3.0,30,365,46,31,0.23,4.39,0,0.0,1.0,1.0
177.0,Roxbury,Entire home/apt,Entire rental unit,4,1.0,1.0,2,150,158,339,2.54,4.78,0,1.0,1.0,1.0
38.0,Roxbury,Private room,Private room in rental unit,1,2.0,1.0,91,1125,365,6,0.05,4.33,0,0.0,1.0,1.0
149.0,West Roxbury,Entire home/apt,Entire loft,2,1.0,1.0,2,365,76,6,0.38,4.83,0,0.0,1.0,1.0
35.0,Roxbury,Private room,Private room in rental unit,1,2.0,1.0,91,1000,365,0,,,0,0.0,1.0,1.0
150.0,Beacon Hill,Entire home/apt,Entire rental unit,2,1.0,2.0,29,365,181,257,1.91,4.9,0,0.0,1.0,1.0
105.0,Jamaica Plain,Private room,Private room in home,2,2.0,1.0,29,31,53,130,0.97,4.88,0,0.0,1.0,1.0
42.0,East Boston,Private room,Private room in home,4,1.0,3.0,91,365,90,90,0.87,4.38,0,0.0,1.0,2.5
169.0,South End,Entire home/apt,Entire rental unit,4,2.0,2.0,29,180,91,364,2.71,4.83,0,0.0,0.0,1.0
112.0,Jamaica Plain,Private room,Private room in home,2,1.0,1.0,2,10,261,235,1.74,4.92,0,0.0,1.0,1.0
228.0,North End,Entire home/apt,Entire rental unit,3,2.0,2.0,10,730,155,61,0.46,4.72,1,0.0,1.0,1.0
241.0,Jamaica Plain,Entire home/apt,Entire guesthouse,6,2.0,4.0,2,14,287,65,0.5,4.89,0,1.0,1.0,2.5
69.0,Dorchester,Private room,Private room in condo,1,1.0,1.0,91,91,193,14,0.11,5.0,0,0.0,1.0,1.0
85.0,Jamaica Plain,Private room,Private room in rental unit,1,1.0,1.0,29,120,265,50,0.37,4.7,0,0.0,1.0,1.0
146.0,Roxbury,Private room,Private room in townhouse,3,1.0,2.0,2,110,39,618,4.63,4.95,0,1.0,1.0,1.0
175.0,South End,Entire home/apt,Entire rental unit,2,0.0,1.0,33,1125,85,79,0.59,4.71,0,1.0,1.0,1.0
99.0,East Boston,Private room,Private room in home,1,1.0,2.0,5,100,167,7,0.06,4.57,1,0.0,1.0,1.0
180.0,South End,Entire home/apt,Entire rental unit,5,2.0,3.0,30,1125,243,150,1.13,4.82,0,1.0,1.0,1.0
175.0,South End,Entire home/apt,Entire rental unit,4,1.0,2.0,31,1125,176,88,0.7,4.83,0,1.0,1.0,1.0
194.0,Brighton,Entire home/apt,Entire home,5,3.0,4.0,45,270,314,16,0.13,4.69,0,0.0,1.0,2.0
100.0,Roxbury,Private room,Private room in townhouse,1,1.0,1.0,2,110,30,509,3.84,4.93,0,1.0,1.0,1.0
162.0,Beacon Hill,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,329,238,1.89,4.57,0,0.0,1.0,1.0
142.0,South End,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,324,109,0.86,4.58,1,0.0,1.0,1.0
221.0,South End,Entire home/apt,Entire rental unit,1,1.0,1.0,1,1125,317,179,1.43,4.57,0,0.0,1.0,1.0
221.0,Back Bay,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1124,286,175,1.41,4.61,0,0.0,1.0,1.0
106.0,Roxbury,Private room,Private room in townhouse,1,1.0,1.0,2,110,39,590,4.47,4.92,0,1.0,1.0,1.0
246.0,Roxbury,Entire home/apt,Entire rental unit,8,3.0,4.0,3,90,47,127,0.97,4.76,1,1.0,1.0,1.5
175.0,South End,Entire home/apt,Entire rental unit,2,1.0,1.0,120,365,184,42,0.33,4.88,0,1.0,1.0,1.0
154.0,Roxbury,Entire home/apt,Entire rental unit,3,0.0,2.0,2,64,37,905,6.85,4.9,0,1.0,1.0,1.0
39.0,Roxbury,Private room,Private room in rental unit,1,1.0,1.0,91,1125,365,7,0.06,4.86,0,0.0,1.0,2.0
39.0,Roxbury,Private room,Private room in rental unit,1,2.0,1.0,91,1125,365,1,0.01,4.0,0,0.0,1.0,1.0
432.0,West End,Entire home/apt,Entire rental unit,5,2.0,2.0,30,1125,179,17,0.16,4.71,0,1.0,1.0,2.0
231.0,East Boston,Entire home/apt,Entire rental unit,8,2.0,9.0,1,1125,341,455,3.64,4.86,0,1.0,1.0,1.0
161.0,South End,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,324,180,1.47,4.64,0,0.0,1.0,1.0
39.0,Roxbury,Private room,Private room in rental unit,1,2.0,1.0,91,1000,365,4,0.03,4.5,0,0.0,1.0,2.0
60.0,Brighton,Entire home/apt,Entire rental unit,1,1.0,1.0,91,1125,290,21,0.21,5.0,0,1.0,1.0,1.0
326.0,Brighton,Entire home/apt,Entire home,12,5.0,6.0,3,30,290,221,1.68,4.89,1,1.0,1.0,2.0
211.0,Hyde Park,Entire home/apt,Entire rental unit,7,2.0,2.0,2,365,245,114,0.9,4.6,0,0.0,1.0,2.0
58.0,Brighton,Private room,Private room in home,1,1.0,1.0,91,1125,214,29,0.23,4.79,0,0.0,1.0,1.0
94.0,Jamaica Plain,Entire home/apt,Entire rental unit,2,0.0,1.0,4,730,285,443,3.39,4.67,1,0.0,1.0,1.0
59.0,Dorchester,Private room,Private room in home,1,5.0,7.0,29,1125,299,41,0.32,4.85,0,0.0,1.0,2.0
70.0,Jamaica Plain,Private room,Private room in rental unit,1,1.0,1.0,30,90,333,37,0.29,4.68,0,0.0,1.0,1.0
71.0,South Boston,Private room,Private room in home,2,1.0,1.0,5,29,62,204,1.59,4.61,1,0.0,0.0,1.0
570.0,Roxbury,Entire home/apt,Entire rental unit,4,2.0,2.0,29,365,309,100,0.81,4.98,0,1.0,1.0,1.5
247.0,Jamaica Plain,Entire home/apt,Entire rental unit,4,2.0,3.0,2,31,272,502,3.88,4.93,0,1.0,1.0,1.0
950.0,South End,Entire home/apt,Entire townhouse,6,3.0,4.0,5,1125,29,44,0.34,5.0,0,1.0,1.0,2.5
39.0,Roxbury,Private room,Private room in rental unit,1,1.0,1.0,91,1125,365,6,0.05,5.0,0,0.0,1.0,1.0
62.0,East Boston,Entire home/apt,Entire condo,2,1.0,1.0,65,365,67,87,0.68,4.49,0,1.0,1.0,1.0
126.0,Dorchester,Entire home/apt,Entire guest suite,5,3.0,4.0,29,1125,219,268,2.24,4.81,0,1.0,1.0,1.0
155.0,Roslindale,Entire home/apt,Entire home,3,2.0,2.0,29,1125,329,25,0.2,4.64,0,0.0,1.0,1.0
39.0,Roxbury,Private room,Private room in rental unit,1,2.0,1.0,91,1125,365,2,0.02,5.0,0,0.0,1.0,2.0
336.0,Mission Hill,Entire home/apt,Entire rental unit,6,3.0,3.0,3,29,50,240,1.91,4.89,0,1.0,1.0,2.0
162.0,Roxbury,Entire home/apt,Entire rental unit,4,0.0,2.0,3,60,33,132,1.03,4.8,0,1.0,1.0,1.0
250.0,Back Bay,Entire home/apt,Entire rental unit,4,2.0,2.0,29,115,176,215,1.92,4.93,1,1.0,1.0,1.0
625.0,Charlestown,Entire home/apt,Entire home,5,4.0,3.0,3,4,115,35,0.28,4.97,0,0.0,1.0,3.0
100.0,Roxbury,Private room,Private room in condo,1,1.0,1.0,91,355,365,9,0.07,4.89,0,0.0,1.0,1.5
184.0,South End,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,316,179,1.46,4.51,0,0.0,1.0,1.0
123.0,South End,Entire home/apt,Entire rental unit,1,0.0,1.0,1,1125,227,326,2.6,4.55,0,0.0,1.0,1.0
277.0,South Boston,Entire home/apt,Entire rental unit,3,0.0,2.0,3,365,335,105,1.07,4.88,0,1.0,1.0,1.0
330.0,North End,Entire home/apt,Entire condo,4,2.0,2.0,3,60,61,315,2.54,4.97,0,1.0,1.0,1.5
71.0,Allston,Private room,Private room in home,2,1.0,1.0,3,90,204,403,3.17,4.9,0,1.0,1.0,1.0
81.0,Roslindale,Private room,Private room in townhouse,1,1.0,1.0,30,365,171,118,0.94,4.95,0,1.0,1.0,1.0
512.0,Back Bay,Entire home/apt,Entire townhouse,6,3.0,2.0,91,120,177,14,0.11,5.0,0,0.0,1.0,2.5
74.0,Allston,Private room,Private room in home,2,1.0,1.0,60,365,283,180,1.42,4.82,0,1.0,1.0,1.0
267.0,Dorchester,Entire home/apt,Entire rental unit,2,1.0,1.0,2,150,19,35,0.28,4.97,0,1.0,1.0,1.0
177.0,Roxbury,Entire home/apt,Entire rental unit,4,0.0,2.0,3,90,65,156,1.23,4.71,0,1.0,1.0,1.0
110.0,Hyde Park,Entire home/apt,Entire rental unit,5,3.0,5.0,29,365,306,29,0.23,4.66,0,1.0,1.0,1.0
92.0,Back Bay,Entire home/apt,Entire rental unit,1,0.0,1.0,91,1125,316,57,0.46,4.81,0,0.0,0.0,1.0
117.0,Jamaica Plain,Private room,Private room in townhouse,2,1.0,1.0,2,1125,58,400,3.28,4.98,0,1.0,1.0,1.0
263.0,Jamaica Plain,Entire home/apt,Entire home,12,5.0,7.0,29,730,266,43,0.35,4.6,0,0.0,1.0,2.5
472.0,Jamaica Plain,Entire home/apt,Entire condo,10,5.0,6.0,3,29,307,237,1.89,4.92,0,1.0,1.0,2.0
64.0,South Boston,Private room,Private room in home,2,1.0,2.0,5,29,64,125,0.99,4.58,0,0.0,0.0,1.0
177.0,Roxbury,Entire home/apt,Entire rental unit,2,1.0,1.0,3,30,325,108,1.19,4.81,1,1.0,1.0,1.0
43.0,Roslindale,Private room,Private room in home,1,1.0,1.0,29,1125,0,18,0.14,4.56,0,0.0,1.0,1.0
171.0,Brighton,Entire home/apt,Entire rental unit,4,1.0,2.0,180,1125,355,41,0.33,4.44,0,0.0,1.0,1.0
167.0,South End,Entire home/apt,Entire rental unit,2,1.0,1.0,1,1125,254,266,2.13,4.6,0,0.0,1.0,1.0
168.0,South End,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,320,186,1.81,4.48,1,0.0,1.0,1.0
106.0,South End,Entire home/apt,Entire rental unit,1,0.0,1.0,1,1125,190,165,1.59,4.52,0,0.0,1.0,1.0
228.0,Back Bay,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,297,281,2.28,4.68,0,0.0,1.0,1.0
141.0,South End,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,324,121,1.19,4.51,0,0.0,1.0,1.0
107.0,South End,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,203,189,1.74,4.52,1,0.0,1.0,1.0
184.0,South End,Entire home/apt,Entire rental unit,1,0.0,1.0,1,1125,325,263,2.17,4.55,0,0.0,1.0,1.0
160.0,Dorchester,Entire home/apt,Entire guest suite,4,1.0,2.0,2,40,225,139,1.71,4.88,0,1.0,1.0,1.0
35.0,Roxbury,Private room,Private room in rental unit,1,1.0,1.0,91,1000,365,11,0.09,4.91,0,0.0,1.0,2.0
133.0,South End,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,294,166,1.66,4.47,0,0.0,1.0,1.0
39.0,Roxbury,Private room,Private room in rental unit,1,2.0,1.0,91,1000,365,5,0.04,4.6,0,0.0,1.0,2.0
139.0,Fenway,Entire home/apt,Entire rental unit,2,1.0,1.0,91,250,163,98,0.79,4.92,0,0.0,1.0,1.0
163.0,South End,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,321,169,1.4,4.52,0,0.0,1.0,1.0
180.0,Back Bay,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,309,273,2.28,4.77,0,0.0,1.0,1.0
190.0,Back Bay,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,272,326,2.72,4.75,0,0.0,1.0,1.0
220.0,Back Bay,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,278,247,1.99,4.66,0,0.0,1.0,1.0
259.0,Jamaica Plain,Entire home/apt,Entire condo,2,2.0,1.0,14,90,314,62,0.5,4.98,0,0.0,1.0,1.0
170.0,Charlestown,Private room,Private room in home,2,1.0,1.0,91,1125,365,8,0.06,4.75,0,0.0,1.0,1.0
43.0,Roslindale,Private room,Private room in home,2,1.0,1.0,29,1125,24,25,0.2,4.52,0,0.0,1.0,1.0
35.0,Roxbury,Private room,Private room in rental unit,1,2.0,1.0,91,1000,274,7,0.06,4.71,0,0.0,1.0,2.0
101.0,Dorchester,Private room,Private room in home,2,1.0,1.0,29,365,334,240,1.93,4.9,0,0.0,1.0,1.0
135.0,Jamaica Plain,Entire home/apt,Entire guest suite,4,1.0,4.0,2,28,44,386,3.14,4.88,0,1.0,1.0,1.0
79.0,Brighton,Entire home/apt,Entire condo,2,1.0,1.0,80,450,214,16,0.15,4.88,0,1.0,1.0,1.0
427.0,Brighton,Entire home/apt,Entire home,6,3.0,3.0,2,28,261,271,2.19,4.96,0,0.0,1.0,1.0
175.0,South Boston,Entire home/apt,Entire rental unit,2,1.0,1.0,3,28,252,565,4.56,4.83,0,1.0,1.0,1.0
244.0,South End,Entire home/apt,Entire rental unit,4,2.0,2.0,30,1124,257,131,1.22,4.58,0,0.0,1.0,1.0
192.0,Back Bay,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,285,193,1.72,4.79,0,0.0,1.0,1.0
218.0,Back Bay,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1124,308,282,2.46,4.82,0,0.0,1.0,1.0
213.0,Back Bay,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1124,321,255,2.24,4.7,0,0.0,1.0,1.0
181.0,Back Bay,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1124,288,243,2.0,4.78,0,0.0,1.0,1.0
218.0,Back Bay,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1124,297,282,2.36,4.73,0,0.0,1.0,1.0
221.0,Back Bay,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,273,370,3.27,4.76,0,0.0,1.0,1.0
127.0,South End,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,230,207,2.0,4.57,0,0.0,1.0,1.0
43.0,Roslindale,Private room,Private room in home,1,1.0,1.0,29,1125,259,9,0.09,4.22,0,0.0,1.0,1.0
235.0,Fenway,Entire home/apt,Entire condo,1,1.0,1.0,91,365,362,15,0.12,4.53,0,0.0,1.0,1.0
185.0,South End,Entire home/apt,Entire rental unit,1,0.0,1.0,1,1125,307,249,2.05,4.66,0,0.0,1.0,1.0
123.0,South End,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,228,259,2.15,4.6,0,0.0,1.0,1.0
183.0,Beacon Hill,Entire home/apt,Entire rental unit,2,0.0,1.0,29,1124,309,225,1.86,4.65,0,0.0,1.0,1.0
161.0,Beacon Hill,Entire home/apt,Entire rental unit,2,1.0,1.0,1,1124,295,220,2.14,4.6,0,0.0,1.0,1.0
172.0,Beacon Hill,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,309,192,1.7,4.45,1,0.0,1.0,1.0
850.0,Beacon Hill,Entire home/apt,Entire rental unit,7,4.0,5.0,4,30,194,176,1.43,4.98,0,1.0,1.0,2.5
212.0,Beacon Hill,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,303,210,1.72,4.67,0,0.0,1.0,1.0
135.0,South End,Entire home/apt,Entire rental unit,4,1.0,2.0,31,1125,234,92,0.75,4.89,0,1.0,1.0,1.0
197.0,South Boston,Entire home/apt,Entire townhouse,6,3.0,4.0,29,1125,354,123,1.0,4.89,0,1.0,1.0,2.5
183.0,Beacon Hill,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,308,342,2.84,4.67,0,0.0,1.0,1.0
280.0,Jamaica Plain,Entire home/apt,Entire rental unit,8,4.0,4.0,91,365,365,0,,,0,0.0,0.0,2.0
99.0,Brighton,Private room,Private room in townhouse,1,1.0,1.0,29,1125,365,319,2.6,4.89,1,0.0,1.0,1.5
209.0,South End,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,305,178,1.58,4.69,1,0.0,1.0,1.0
106.0,South End,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,205,207,1.99,4.61,0,0.0,1.0,1.0
183.0,Beacon Hill,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,322,228,2.05,4.55,0,0.0,1.0,1.0
200.0,Beacon Hill,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,271,391,3.2,4.64,0,0.0,1.0,1.0
188.0,Beacon Hill,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1124,287,368,3.25,4.63,0,0.0,1.0,1.0
163.0,Beacon Hill,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,277,167,1.46,4.68,0,0.0,1.0,1.0
169.0,Beacon Hill,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,294,227,1.88,4.61,0,0.0,1.0,1.0
75.0,Hyde Park,Private room,Private room in bed and breakfast,2,1.0,1.0,29,1125,365,134,1.09,4.99,0,0.0,0.0,1.0
208.0,Beacon Hill,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1124,316,238,1.96,4.58,0,0.0,1.0,1.0
106.0,South End,Entire home/apt,Entire rental unit,2,0.0,1.0,1,1125,234,252,2.42,4.54,0,0.0,1.0,1.0
184.0,South End,Entire home/apt,Entire rental unit,1,0.0,1.0,1,1125,322,117,0.96,4.37,0,0.0,1.0,1.0
