price,neighbourhood_cleansed,room_type,property_type,accommodates,bedrooms,beds,minimum_nights,maximum_nights,availability_365,number_of_reviews,reviews_per_month,review_scores_rating,instant_bookable,host_is_superhost,host_identity_verified,bathrooms
96.0,Dorchester,Entire home/apt,Entire guest suite,4,2.0,2.0,91,365,173,0,,,0,1.0,1.0,1.0
373.0,South Boston,Entire home/apt,Entire home,6,2.0,4.0,2,365,98,16,4.9,4.69,1,0.0,0.0,2.0
315.0,Jamaica Plain,Entire home/apt,Entire rental unit,6,3.0,1.0,2,365,336,5,1.6,5.0,1,0.0,1.0,1.0
68.0,Brighton,Private room,Private room in home,2,1.0,1.0,3,365,165,9,2.29,4.56,0,0.0,1.0,1.0
456.0,Back Bay,Entire home/apt,Entire rental unit,4,2.0,2.0,31,1125,277,0,,,1,0.0,1.0,2.0
321.0,Back Bay,Entire home/apt,Entire rental unit,2,0.0,1.0,31,1125,239,0,,,1,0.0,1.0,1.0
360.0,Roxbury,Entire home/apt,Entire rental unit,4,2.0,2.0,30,1125,144,2,0.58,5.0,0,,1.0,1.0
247.0,Dorchester,Entire home/apt,Entire rental unit,2,1.0,1.0,31,1125,351,0,,,1,0.0,1.0,1.0
207.0,East Boston,Entire home/apt,Entire rental unit,8,3.0,4.0,1,365,342,23,6.57,4.48,1,0.0,1.0,1.0
316.0,Downtown,Entire home/apt,Entire rental unit,3,1.0,1.0,1,365,305,25,6.05,4.76,0,1.0,1.0,1.0
250.0,Back Bay,Entire home/apt,Entire rental unit,2,0.0,1.0,1,365,223,19,5.04,4.84,1,0.0,1.0,1.0
296.0,Back Bay,Entire home/apt,Entire rental unit,4,1.0,2.0,1,365,233,17,4.51,4.76,1,0.0,1.0,1.0
346.0,Fenway,Entire home/apt,Entire rental unit,4,1.0,2.0,1,365,222,17,4.51,5.0,1,0.0,1.0,1.0
655.0,South End,Entire home/apt,Entire rental unit,7,2.0,3.0,1,90,336,3,1.55,5.0,0,0.0,1.0,2.0
208.0,Back Bay,Entire home/apt,Entire rental unit,2,1.0,1.0,1,365,234,17,4.64,4.71,1,0.0,1.0,1.0
201.0,Beacon Hill,Entire home/apt,Entire rental unit,2,0.0,1.0,1,365,122,18,4.86,4.83,1,1.0,1.0,1.0
